1_I2Pico,1_U2,num,time_50us,2_I2Pico,2_U2,time_10us,3_I2Pico,3_I2K,time_5us,4_I2Pico,4_I2K,5_I2Pico,5_I2K,6_I2Pico,6_I2K,7_I2Pico,7_I2K,8_I2Pico,8_I2K,9_I2Pico,9_I2K,10_I2K,10_U2,11_I2K,11_U2,12_I2K,12_U2,13_I2K,13_U2,14_I2K,14_U2,15_I2K,15_U2,16_I2Pico,16_U2,17_I2Pico,17_U2,18_I2Pico,18_U2,19_I2Pico,time_100us,19_U2,20_I2Pico,20_U2,21_I2Pico,21_U2,22_I2Pico,22_U2,23_I2Pico,23_U2
2.0,-17.0,1,0.1,-0.19999999999999998,-17.0,0.02,-0.19999999999999998,-0.03,0.01,-0.6,-0.01,-0.19999999999999998,-0.01,-0.04,-0.004,-0.19999999999999998,-0.012,0.04,-0.004,0.04,-0.004,-0.1,15.0,-0.08,-1.0,-0.1,17.0,-0.04,5.0,-0.06,-3.0,-0.056,5.0,0.08,5.0,-0.08,-1.0,-0.08,5.0,-0.39999999999999997,0.2,17.0,-4.768e-07,-3.0,-0.16,14.799999999999999,0.5,-1.0,0.09999999999999999,-3.0
2.0,-15.0,2,0.2,-7.003999999999999e-07,-17.0,0.04,-0.39999999999999997,-0.03,0.02,-0.39999999999999997,0.01,-0.39999999999999997,-0.01,-0.12,0.004,-0.12,0.012,-0.04,0.012,-0.04,0.012,-0.06,15.0,-0.12,-3.0,-0.12,15.0,-0.04,5.0,-0.04,-1.0,-0.056,7.000000000000001,0.08,5.0,-0.16,-1.0,-0.08,5.0,-0.39999999999999997,0.4,15.0,-4.768e-07,-3.0,-0.08,14.799999999999999,0.09999999999999999,-3.0,0.09999999999999999,-3.0
1.7999999999999998,-17.0,3,0.30000000000000004,-0.19999999999999998,-19.0,0.06,-0.39999999999999997,-0.01,0.03,-0.39999999999999997,0.01,-0.39999999999999997,-0.01,-0.04,-0.012,-0.12,0.02,-0.04,0.004,-0.04,0.004,-0.1,15.0,-0.1,-3.0,-0.1,17.0,-0.06,5.0,-0.04,-1.0,-0.016,5.0,3.371e-07,7.000000000000001,-0.08,-1.0,-0.08,3.0,-0.6,0.6000000000000001,17.0,0.19999999999999998,-3.0,-0.16,14.799999999999999,0.3,-3.0,0.09999999999999999,1.0
2.0,-17.0,4,0.4,-0.19999999999999998,-17.0,0.08,-7.003999999999999e-07,0.01,0.04,-0.6,-0.03,-0.39999999999999997,-0.01,-0.04,0.004,-0.12,0.012,-0.04,-0.004,-0.04,-0.004,-0.08,17.0,-0.06,-5.0,-0.1,15.0,-0.08,3.0,-0.04,-1.0,-0.064,7.000000000000001,0.08,5.0,-0.16,-1.0,3.371e-07,5.0,-0.6,0.8,15.0,-4.768e-07,-3.0,-0.16,15.6,0.3,-3.0,0.09999999999999999,-3.0
2.0,-17.0,5,0.5,-7.003999999999999e-07,-17.0,0.1,-0.19999999999999998,-0.01,0.05,-0.39999999999999997,-0.01,-0.39999999999999997,-0.03,-0.04,-0.028,-0.19999999999999998,0.02,-0.04,-0.012,-0.04,-0.012,-0.12,15.0,-0.12,-1.0,-0.1,15.0,-0.06,5.0,-0.06,-3.0,-0.064,5.0,3.371e-07,5.0,-0.08,-1.0,-0.08,5.0,-0.6,1.0,15.0,-4.768e-07,-3.0,-0.16,14.799999999999999,0.09999999999999999,-3.0,0.09999999999999999,-3.0
2.0,-17.0,6,0.6000000000000001,-0.19999999999999998,-17.0,0.12,-0.39999999999999997,0.03,0.06,-0.39999999999999997,0.03,-0.19999999999999998,0.03,-0.04,-0.02,-0.12,-0.012,-0.04,0.004,-0.04,0.004,-0.12,17.0,-0.08,-1.0,-0.1,13.0,-0.04,5.0,-0.1,-1.0,-0.04,7.000000000000001,3.371e-07,5.0,-0.16,-1.0,-0.08,1.0,-0.6,1.2000000000000002,13.0,0.19999999999999998,-1.0,-0.08,14.000000000000002,0.3,-1.0,0.09999999999999999,-1.0
2.0,-17.0,7,0.7000000000000001,-7.003999999999999e-07,-17.0,0.14,-0.39999999999999997,-0.01,0.07,-0.39999999999999997,-0.01,-0.19999999999999998,-0.03,-0.04,0.004,-0.04,-0.004,-0.04,-0.004,-0.04,-0.004,-0.1,15.0,-0.14,-1.0,-0.1,15.0,-0.04,5.0,-0.04,-3.0,-0.024,5.0,3.371e-07,7.000000000000001,-0.08,-1.0,-0.08,3.0,-0.6,1.4000000000000001,15.0,-4.768e-07,-1.0,-0.08,14.799999999999999,0.3,-1.0,-0.09999999999999999,-1.0
2.0,-17.0,8,0.8,-0.19999999999999998,-17.0,0.16,-0.39999999999999997,0.01,0.08,-0.39999999999999997,0.01,-0.39999999999999997,-0.05,-0.04,-0.012,-0.04,0.012,0.04,0.012,0.04,0.012,-0.1,15.0,-0.1,-3.0,-0.12,17.0,-0.04,3.0,-0.02,-1.0,-0.024,5.0,0.08,5.0,-0.08,-3.0,-0.08,5.0,-0.6,1.6,17.0,-4.768e-07,-3.0,-0.08,14.799999999999999,0.09999999999999999,-1.0,0.09999999999999999,-3.0
2.0,-15.0,9,0.9,-0.19999999999999998,-17.0,0.18,-0.39999999999999997,0.01,0.09,-0.39999999999999997,0.01,-0.19999999999999998,-0.03,-0.04,0.004,-0.12,-0.012,-0.04,-0.012,-0.04,-0.012,-0.14,15.0,-0.12,-3.0,-0.12,15.0,-0.04,5.0,-0.04,-1.0,-0.04,7.000000000000001,-0.08,5.0,-0.08,-1.0,-0.08,5.0,-0.6,1.8,15.0,-4.768e-07,-3.0,-0.08,14.799999999999999,0.3,-1.0,-0.09999999999999999,-1.0
1.7999999999999998,-15.0,10,1.0,-0.19999999999999998,-15.0,0.2,-0.39999999999999997,-0.01,0.1,-0.39999999999999997,0.05,-0.19999999999999998,-0.01,-0.04,0.012,-0.19999999999999998,-0.012,-0.04,0.004,-0.04,0.004,-0.08,17.0,-0.1,-3.0,-0.1,15.0,-0.06,3.0,-0.06,-1.0,-0.04,5.0,3.371e-07,5.0,-0.08,-3.0,-0.16,5.0,-0.7999999999999999,2.0,15.0,0.19999999999999998,-3.0,-0.16,14.799999999999999,0.3,-3.0,0.09999999999999999,-3.0
1.7999999999999998,-17.0,11,1.1,-0.19999999999999998,-17.0,0.22,-0.6,-0.01,0.11,-0.19999999999999998,0.03,-0.19999999999999998,0.01,-0.04,0.02,-0.04,0.012,0.04,0.004,0.04,0.004,-0.12,15.0,-0.12,-3.0,-0.12,15.0,-0.02,3.0,-0.08,-1.0,-0.056,5.0,0.08,3.0,3.371e-07,1.0,-0.08,5.0,-0.6,2.2,15.0,-4.768e-07,-1.0,-0.16,14.000000000000002,0.09999999999999999,-1.0,-0.09999999999999999,-1.0
